地域,可用区,系统,机型,规格,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),标准月价(元),包月(元),包年(元),3年(元),5年(元)
南京,南京二区,LINUX,标准型S4,S4.12XLARGE96,48,96,13.8,6.9,4.69,3974.4,3974.4,39585.02,71539.2,119232
南京,南京二区,LINUX,标准型S4,S4.12XLARGE192,48,192,20.7,10.35,7.04,5961.6,5961.6,59377.54,107308.8,178848
南京,南京一区,LINUX,标准型S4,S4.16XLARGE256,64,256,27.6,13.8,9.39,7948.8,7948.8,79170.05,143078.4,238464
南京,南京一区,LINUX,标准型S4,S4.18XLARGE288,72,288,31.05,15.52,10.56,8942.4,8942.4,89066.3,160963.2,268272
南京,南京一区,LINUX,标准网络优化型SN3ne,SN3ne.MEDIUM2,2,2,0.48,0.24,0.16,88,88,876.48,1584,2640
南京,南京一区,LINUX,标准网络优化型SN3ne,SN3ne.MEDIUM4,2,4,0.64,0.32,0.22,184,184,1832.64,3312,5520
南京,南京一区,LINUX,标准网络优化型SN3ne,SN3ne.LARGE4,4,4,0.96,0.48,0.33,276,276,2748.96,4968,8280
南京,南京一区,LINUX,标准网络优化型SN3ne,SN3ne.LARGE8,4,8,1.28,0.64,0.44,368,368,3665.28,6624,11040
南京,南京一区,LINUX,标准型S3,S3.SMALL1,1,1,0.3,0.15,0.1,85.5,85.5,851.58,1539,2565
南京,南京一区,LINUX,标准型S3,S3.SMALL2,1,2,0.43,0.22,0.15,125.4,125.4,1248.98,2257.2,3762
南京,南京一区,LINUX,标准型S3,S3.SMALL4,1,4,0.71,0.35,0.24,204.75,204.75,2039.31,3685.5,6142.5
南京,南京一区,LINUX,标准型S3,S3.MEDIUM2,2,2,0.43,0.22,0.15,125.4,125.4,1248.98,2257.2,3762
南京,南京一区,LINUX,标准型S3,S3.MEDIUM8,2,8,1.42,0.71,0.48,409.5,409.5,4078.62,7371,12285
南京,南京一区,LINUX,标准型S3,S3.LARGE16,4,16,2.84,1.42,0.96,819,819,8157.24,14742,24570
南京,南京一区,LINUX,标准型S3,S3.3XLARGE48,12,48,8.51,4.25,2.89,2457,2457,24471.72,44226,73710
南京,南京一区,LINUX,标准型S3,S3.4XLARGE32,16,32,7.57,3.78,2.57,2184,2184,21752.64,39312,65520
南京,南京一区,LINUX,标准型S3,S3.6XLARGE48,24,48,11.35,5.68,3.86,3276,3276,32628.96,58968,98280
南京,南京一区,LINUX,标准型S3,S3.8XLARGE64,32,64,15.14,7.57,5.14,4368,4368,43505.28,78624,131040
南京,南京一区,LINUX,标准型S3,S3.12XLARGE96,48,96,22.7,11.35,7.72,6552,6552,65257.92,117936,196560
南京,南京一区,LINUX,标准型S3,S3.12XLARGE192,48,192,34.03,17.02,11.57,9828,9828,97886.88,176904,294840
南京,南京一区,LINUX,标准型S3,S3.16XLARGE256,64,256,45.38,22.69,15.42,13104,13104,130515.84,235872,393120
南京,南京一区,LINUX,标准型S3,S3.20XLARGE320,80,320,56.72,28.36,19.28,16380,16380,163144.8,294840,491400
南京,南京一区,LINUX,高IO型IT5,IT5.4XLARGE64,16,64,4.56,4.56,4.56,2347.2,2347.2,23378.11,42249.6,70416
南京,南京一区,LINUX,高IO型IT5,IT5.8XLARGE128,32,128,9.13,9.13,9.13,4694.4,4694.4,46756.22,84499.2,140832
南京,南京一区,LINUX,高IO型IT5,IT5.16XLARGE256,64,256,18.26,18.26,18.26,9388.8,9388.8,93512.45,168998.4,281664
南京,南京一区,LINUX,高IO型IT5,IT5.21XLARGE320,84,320,22.44,22.44,22.44,11541.6,11541.6,114954.34,207748.8,346248
南京,南京一区,LINUX,高IO型IT3,IT3.4XLARGE64,16,64,8.76,5.16,4.01,2523.6,2523.6,25135.06,45424.8,75708
南京,南京一区,LINUX,高IO型IT3,IT3.8XLARGE128,32,128,17.52,10.33,8.02,5047.2,5047.2,50270.11,90849.6,151416
南京,南京一区,LINUX,高IO型IT3,IT3.16XLARGE256,64,256,35.05,20.65,16.04,10094.4,10094.4,100540.22,181699.2,302832
南京,南京二区,LINUX,内存型M6,M6.SMALL8,1,8,0.32,0.32,0.32,166.32,166.32,1656.55,2993.76,4989.6
南京,南京二区,LINUX,内存型M6,M6.LARGE32,4,32,1.29,1.29,1.29,665.28,665.28,6626.19,11975.04,19958.4
南京,南京二区,LINUX,内存型M6,M6.2XLARGE64,8,64,2.59,2.59,2.59,1330.56,1330.56,13252.38,23950.08,39916.8
南京,南京二区,LINUX,内存型M6,M6.4XLARGE128,16,128,5.18,5.18,5.18,2661.12,2661.12,26504.76,47900.16,79833.6
南京,南京二区,LINUX,内存型M6,M6.8XLARGE256,32,256,10.35,10.35,10.35,5322.24,5322.24,53009.51,95800.32,159667.2
南京,南京二区,LINUX,内存型M6,M6.31MEDIUM470,62,470,19.29,19.29,19.29,9918.72,9918.72,98790.45,178536.96,297561.6
南京,南京二区,LINUX,内存型M6,M6.16XLARGE512,64,512,20.7,20.7,20.7,10644.48,10644.48,106019.02,191600.64,319334.4
南京,南京二区,LINUX,内存型M6,M6.31XLARGE940,124,940,38.58,38.58,38.58,19837.44,19837.44,197580.9,357073.92,595123.2
南京,南京一区,LINUX,内存型MA3,MA3.SMALL8,1,8,0.23,0.23,0.23,116.6,116.6,1161.34,2098.8,3498
南京,南京一区,LINUX,内存型MA3,MA3.MEDIUM16,2,16,0.45,0.45,0.45,233.2,233.2,2322.67,4197.6,6996
南京,南京一区,LINUX,内存型MA3,MA3.LARGE32,4,32,0.91,0.91,0.91,466.4,466.4,4645.34,8395.2,13992
南京,南京一区,LINUX,内存型MA3,MA3.2XLARGE64,8,64,1.81,1.81,1.81,932.8,932.8,9290.69,16790.4,27984
南京,南京二区,LINUX,内存型MA3,MA3.4XLARGE128,16,128,3.63,3.63,3.63,1865.6,1865.6,18581.38,33580.8,55968
南京,南京三区,LINUX,内存型MA3,MA3.8XLARGE256,32,256,7.26,7.26,7.26,3731.2,3731.2,37162.75,67161.6,111936
南京,南京二区,LINUX,安全增强内存型M6ce,M6ce.MEDIUM16,2,16,0.68,0.68,0.68,349.27,349.27,3478.75,6286.9,10478.16
南京,南京二区,LINUX,安全增强内存型M6ce,M6ce.LARGE32,4,32,1.36,1.36,1.36,698.54,698.54,6957.5,12573.79,20956.32
南京,南京二区,LINUX,安全增强内存型M6ce,M6ce.2XLARGE64,8,64,2.72,2.72,2.72,1397.09,1397.09,13915,25147.58,41912.64
南京,南京二区,LINUX,安全增强内存型M6ce,M6ce.4XLARGE128,16,128,5.44,5.44,5.44,2794.18,2794.18,27829.99,50295.17,83825.28
南京,南京二区,LINUX,安全增强内存型M6ce,M6ce.8XLARGE256,32,256,10.87,10.87,10.87,5588.35,5588.35,55659.99,100590.34,167650.56
南京,南京二区,LINUX,安全增强内存型M6ce,M6ce.31XLARGE856,124,856,37.93,37.93,37.93,19495.73,19495.73,194177.45,350923.1,584871.84
南京,南京二区,LINUX,内存型M5,M5.SMALL8,1,8,0.55,0.27,0.19,158.4,158.4,1577.66,2851.2,4752
南京,南京二区,LINUX,内存型M5,M5.MEDIUM16,2,16,1.1,0.55,0.37,316.8,316.8,3155.33,5702.4,9504
南京,南京二区,LINUX,内存型M5,M5.LARGE32,4,32,2.2,1.1,0.75,633.6,633.6,6310.66,11404.8,19008
南京,南京二区,LINUX,内存型M5,M5.2XLARGE64,8,64,4.4,2.2,1.5,1267.2,1267.2,12621.31,22809.6,38016
南京,南京一区,LINUX,内存型M5,M5.3XLARGE96,12,96,6.6,3.3,2.24,1900.8,1900.8,18931.97,34214.4,57024
南京,南京一区,LINUX,内存型M5,M5.4XLARGE128,16,128,8.8,4.4,2.99,2534.4,2534.4,25242.62,45619.2,76032
南京,南京一区,LINUX,内存型M5,M5.8XLARGE256,32,256,17.6,8.8,5.98,5068.8,5068.8,50485.25,91238.4,152064
南京,南京一区,LINUX,内存型M5,M5.16XLARGE512,64,512,35.2,17.59,11.96,10137.6,10137.6,100970.5,182476.8,304128
南京,南京一区,LINUX,内存型M4,M4.SMALL8,1,8,0.62,0.31,0.21,176,176,1752.96,3168,5280
南京,南京一区,LINUX,内存型M4,M4.MEDIUM16,2,16,1.23,0.62,0.42,352,352,3505.92,6336,10560
南京,南京一区,LINUX,内存型M4,M4.LARGE32,4,32,2.46,1.23,0.84,704,704,7011.84,12672,21120
南京,南京一区,LINUX,内存型M4,M4.2XLARGE64,8,64,4.92,2.46,1.67,1408,1408,14023.68,25344,42240
南京,南京一区,LINUX,内存型M4,M4.3XLARGE96,12,96,7.38,3.69,2.51,2112,2112,21035.52,38016,63360
南京,南京一区,LINUX,内存型M4,M4.3XLARGE144,12,144,10.07,5.03,3.42,2880,2880,28684.8,51840,86400
南京,南京一区,LINUX,内存型M4,M4.4XLARGE128,16,128,9.84,4.92,3.35,2816,2816,28047.36,50688,84480
南京,南京一区,LINUX,内存型M4,M4.4XLARGE192,16,192,13.43,6.71,4.56,3840,3840,38246.4,69120,115200
南京,南京一区,LINUX,内存型M4,M4.8XLARGE256,32,256,19.68,9.84,6.69,5632,5632,56094.72,101376,168960
南京,南京一区,LINUX,内存型M4,M4.8XLARGE384,32,384,26.85,13.43,9.13,7680,7680,76492.8,138240,230400
南京,南京一区,LINUX,内存型M4,M4.16XLARGE512,64,512,39.37,19.68,13.38,11264,11264,112189.44,202752,337920
南京,南京一区,LINUX,内存型M4,M4.18XLARGE648,72,648,48.32,24.16,16.43,13824,13824,137687.04,248832,414720
南京,南京一区,LINUX,计算型C6,C6.LARGE8,4,8,0.73,0.73,0.73,376,376,3744.96,6768,11280
南京,南京一区,LINUX,计算型C6,C6.LARGE16,4,16,1.1,1.1,1.1,564,564,5617.44,10152,16920
南京,南京一区,LINUX,计算型C6,C6.2XLARGE16,8,16,1.46,1.46,1.46,752,752,7489.92,13536,22560
南京,南京一区,LINUX,计算型C6,C6.2XLARGE32,8,32,2.19,2.19,2.19,1128,1128,11234.88,20304,33840
南京,南京一区,LINUX,计算型C6,C6.4XLARGE32,16,32,2.92,2.92,2.92,1504,1504,14979.84,27072,45120
南京,南京一区,LINUX,计算型C6,C6.4XLARGE64,16,64,4.39,4.39,4.39,2256,2256,22469.76,40608,67680
南京,南京一区,LINUX,计算型C6,C6.8XLARGE128,32,128,8.77,8.77,8.77,4512,4512,44939.52,81216,135360
南京,南京一区,LINUX,计算型C6,C6.23MEDIUM216,46,216,14.07,14.07,14.07,7238,7238,72090.48,130284,217140
南京,南京一区,LINUX,计算型C6,C6.16XLARGE256,64,256,17.54,17.54,17.54,9024,9024,89879.04,162432,270720
南京,南京一区,LINUX,计算型C6,C6.20XLARGE320,80,320,21.93,21.93,21.93,11280,11280,112348.8,203040,338400
南京,南京一区,LINUX,计算型C6,C6.23XLARGE432,92,432,28.14,28.14,28.14,14476,14476,144180.96,260568,434280
南京,南京一区,LINUX,计算型C5,C5.MEDIUM4,2,4,0.35,0.35,0.35,180,180,1792.8,3240,5400
南京,南京一区,LINUX,计算型C5,C5.LARGE8,4,8,0.7,0.7,0.7,360,360,3585.6,6480,10800
南京,南京一区,LINUX,计算型C5,C5.LARGE16,4,16,1.05,1.05,1.05,540,540,5378.4,9720,16200
南京,南京一区,LINUX,计算型C5,C5.2XLARGE16,8,16,1.4,1.4,1.4,720,720,7171.2,12960,21600
南京,南京一区,LINUX,计算型C5,C5.2XLARGE32,8,32,2.1,2.1,2.1,1080,1080,10756.8,19440,32400
南京,南京二区,LINUX,计算型C5,C5.3XLARGE44,12,44,2.97,2.97,2.97,1530,1530,15238.8,27540,45900
南京,南京一区,LINUX,计算型C5,C5.4XLARGE32,16,32,2.8,2.8,2.8,1440,1440,14342.4,25920,43200
南京,南京一区,LINUX,计算型C5,C5.4XLARGE64,16,64,4.2,4.2,4.2,2160,2160,21513.6,38880,64800
南京,南京一区,LINUX,计算型C5,C5.8XLARGE64,32,64,5.6,5.6,5.6,2880,2880,28684.8,51840,86400
南京,南京一区,LINUX,计算型C5,C5.8XLARGE128,32,128,8.4,8.4,8.4,4320,4320,43027.2,77760,129600
南京,南京二区,LINUX,计算型C5,C5.8XLARGE256,32,256,14,14,14,7200,7200,71712,129600,216000
南京,南京一区,LINUX,计算型C5,C5.12XLARGE96,48,96,8.4,8.4,8.4,4320,4320,43027.2,77760,129600
南京,南京一区,LINUX,计算型C5,C5.12XLARGE192,48,192,12.6,12.6,12.6,6480,6480,64540.8,116640,194400
南京,南京二区,LINUX,计算型C5,C5.13XLARGE184,52,184,12.6,12.6,12.6,6480,6480,64540.8,116640,194400
南京,南京一区,LINUX,计算型C5,C5.16XLARGE128,64,128,11.2,11.2,11.2,5760,5760,57369.6,103680,172800
南京,南京一区,LINUX,计算型C5,C5.16XLARGE256,64,256,16.8,16.8,16.8,8640,8640,86054.4,155520,259200
南京,南京三区,LINUX,计算型C5,C5.26XLARGE368,104,368,25.2,25.2,25.2,12960,12960,129081.6,233280,388800
南京,南京三区,LINUX,计算型C4,C4.MEDIUM4,2,4,0.4,0.4,0.4,204,204,2031.84,3672,6120
南京,南京三区,LINUX,计算型C4,C4.LARGE8,4,8,0.79,0.79,0.79,408,408,4063.68,7344,12240
南京,南京三区,LINUX,计算型C4,C4.LARGE16,4,16,1.19,1.19,1.19,612,612,6095.52,11016,18360
南京,南京三区,LINUX,计算型C4,C4.2XLARGE16,8,16,1.59,1.59,1.59,816,816,8127.36,14688,24480
南京,南京三区,LINUX,计算型C4,C4.2XLARGE32,8,32,2.38,2.38,2.38,1224,1224,12191.04,22032,36720
南京,南京三区,LINUX,计算型C4,C4.4XLARGE32,16,32,3.17,3.17,3.17,1632,1632,16254.72,29376,48960
南京,南京三区,LINUX,计算型C4,C4.4XLARGE64,16,64,4.76,4.76,4.76,2448,2448,24382.08,44064,73440
南京,南京三区,LINUX,计算型C4,C4.4XLARGE128,16,128,7.93,7.93,7.93,4080,4080,40636.8,73440,122400
南京,南京三区,LINUX,计算型C4,C4.8XLARGE64,32,64,6.35,6.35,6.35,3264,3264,32509.44,58752,97920
南京,南京三区,LINUX,计算型C4,C4.8XLARGE128,32,128,9.52,9.52,9.52,4896,4896,48764.16,88128,146880
南京,南京三区,LINUX,计算型C4,C4.8XLARGE256,32,256,15.86,15.86,15.86,8160,8160,81273.6,146880,244800
南京,南京三区,LINUX,计算型C4,C4.16XLARGE256,64,256,19.04,19.04,19.04,9792,9792,97528.32,176256,293760
南京,南京一区,LINUX,计算型C3,C3.MEDIUM2,2,2,0.59,0.29,0.2,169.5,169.5,1688.22,3051,5085
南京,南京一区,LINUX,计算型C3,C3.MEDIUM4,2,4,0.78,0.39,0.27,226,226,2250.96,4068,6780
南京,南京一区,LINUX,计算型C3,C3.LARGE8,4,8,1.57,0.78,0.53,452,452,4501.92,8136,13560
南京,南京一区,LINUX,计算型C3,C3.LARGE16,4,16,2.35,1.18,0.8,678,678,6752.88,12204,20340
南京,南京一区,LINUX,计算型C3,C3.2XLARGE16,8,16,3.14,1.57,1.07,904,904,9003.84,16272,27120
南京,南京一区,LINUX,计算型C3,C3.2XLARGE32,8,32,4.71,2.35,1.6,1356,1356,13505.76,24408,40680
南京,南京一区,LINUX,计算型C3,C3.4XLARGE32,16,32,6.28,3.14,2.13,1808,1808,18007.68,32544,54240
南京,南京一区,LINUX,计算型C3,C3.4XLARGE64,16,64,9.42,4.71,3.2,2712,2712,27011.52,48816,81360
南京,南京一区,LINUX,计算型C3,C3.8XLARGE64,32,64,12.56,6.28,4.27,3616,3616,36015.36,65088,108480
南京,南京一区,LINUX,计算型C3,C3.8XLARGE128,32,128,18.83,9.42,6.4,5424,5424,54023.04,97632,162720
南京,南京一区,LINUX,GPU计算型GN7,GN7.LARGE20,4,20,3.39,1.69,1.15,975,975,9711,17550,29250
南京,南京一区,LINUX,GPU计算型GN7,GN7.2XLARGE32,8,32,8.68,4.34,2.95,2500,2500,24900,45000,75000
南京,南京一区,LINUX,GPU计算型GN7,GN7.2XLARGE40,10,40,6.94,3.47,2.36,2000,2000,19920,36000,60000
南京,南京一区,LINUX,GPU计算型GN7,GN7.5XLARGE80,20,80,13.89,6.95,4.72,4000,4000,39840,72000,120000
南京,南京二区,LINUX,GPU计算型GN7,GN7.8XLARGE128,32,128,19.1,9.55,6.49,5500,5500,54780,99000,165000
南京,南京二区,LINUX,GPU计算型GN7,GN7.10XLARGE160,40,160,27.78,13.89,9.45,8000,8000,79680,144000,240000
南京,南京二区,LINUX,GPU计算型GN7,GN7.20XLARGE320,80,320,55.55,27.78,18.89,16000,16000,159360,288000,480000
南京,南京一区,LINUX,GPU计算型GN10X,GN10X.2XLARGE40,8,40,18.04,9.02,6.13,5190,5190,51692.4,93420,155700
南京,南京一区,LINUX,GPU计算型GN10X,GN10X.4XLARGE80,18,80,36.49,18.24,12.41,10500,10500,104580,189000,315000
南京,南京一区,LINUX,GPU计算型GN10X,GN10X.9XLARGE160,36,160,72.98,36.49,24.81,21000,21000,209160,378000,630000
南京,南京一区,LINUX,GPU计算型GN10X,GN10X.18XLARGE320,72,320,145.96,72.98,49.62,42000,42000,418320,756000,1260000
南京,南京三区,LINUX,GPU计算型GN10Xp,GN10Xp.2XLARGE40,10,40,11.98,11.98,11.98,5750,5750,57270,103500,172500
南京,南京一区,LINUX,GPU计算型GN10Xp,GN10Xp.5XLARGE80,20,80,23.96,23.96,23.96,11500,11500,114540,207000,345000
南京,南京一区,LINUX,GPU计算型GN10Xp,GN10Xp.10XLARGE160,40,160,47.92,47.92,47.92,23000,23000,229080,414000,690000
南京,南京一区,LINUX,GPU计算型GN10Xp,GN10Xp.20XLARGE320,80,320,95.84,95.84,95.84,46000,46000,458160,828000,1380000
南京,南京一区,LINUX,GPU推理型GI3X,GI3X.8XLARGE64,32,64,9.58,9.58,9.58,4600,4600,45816,82800,138000
南京,南京一区,LINUX,GPU推理型GI3X,GI3X.22XLARGE226,90,226,19.16,19.16,19.16,9200,9200,91632,165600,276000
南京,南京一区,LINUX,GPU推理型GI3X,GI3X.45XLARGE452,180,452,38.33,38.33,38.33,18400,18400,183264,331200,552000
南京,南京一区,LINUX,GPU计算型GT4,GT4.4XLARGE96,16,96,26.97,26.97,26.97,12948,12948,128962.08,233064,388440
南京,南京一区,LINUX,GPU计算型GT4,GT4.8XLARGE192,32,192,53.94,53.94,53.94,25896,25896,257924.16,466128,776880
南京,南京一区,LINUX,GPU计算型GT4,GT4.20XLARGE474,82,474,112.09,112.09,112.09,53808,53808,535927.68,968544,1614240
南京,南京一区,LINUX,GPU计算型GT4,GT4.41XLARGE948,164,948,224.17,224.17,224.17,107616,107616,1071855.36,1937088,3228480
南京,南京三区,LINUX,GPU渲染型GI1,GI1.10XLARGE160,42,160,18.75,18.75,18.75,9000,9000,89640,162000,270000
南京,南京三区,LINUX,GPU渲染型GI1,GI1.21XLARGE320,84,320,37.49,37.49,37.49,18000,18000,179280,324000,540000
南京,南京一区,LINUX,大数据型D3,D3.2XLARGE32,8,32,2.77,2.77,2.77,1425.6,1425.6,14198.98,25660.8,42768
南京,南京一区,LINUX,大数据型D3,D3.4XLARGE64,16,64,5.54,5.54,5.54,2851.2,2851.2,28397.95,51321.6,85536
南京,南京一区,LINUX,大数据型D3,D3.8XLARGE128,32,128,10.25,10.25,10.25,5270.4,5270.4,52493.18,94867.2,158112
南京,南京三区,LINUX,大数据型D3,D3.8XLARGE128-p24w,32,128,12.77,12.77,12.77,6566.4,6566.4,65401.34,118195.2,196992
南京,南京一区,LINUX,大数据型D3,D3.16XLARGE256,64,256,20.49,20.49,20.49,10540.8,10540.8,104986.37,189734.4,316224
南京,南京一区,LINUX,大数据型D3,D3.21XLARGE320,84,320,24.68,24.68,24.68,12693.6,12693.6,126428.26,228484.8,380808
南京,南京二区,LINUX,大数据型D2,D2.2XLARGE32,8,32,4.39,2.66,2.11,1263.6,1263.6,12585.46,22744.8,37908
南京,南京二区,LINUX,大数据型D2,D2.4XLARGE64,16,64,8.78,5.32,4.22,2527.2,2527.2,25170.91,45489.6,75816
南京,南京二区,LINUX,大数据型D2,D2.6XLARGE96,24,96,13.16,7.99,6.33,3790.8,3790.8,37756.37,68234.4,113724
南京,南京二区,LINUX,大数据型D2,D2.8XLARGE128,32,128,17.55,10.65,8.44,5054.4,5054.4,50341.82,90979.2,151632
南京,南京二区,LINUX,大数据型D2,D2.16XLARGE256,64,256,35.1,21.3,16.89,10108.8,10108.8,100683.65,181958.4,303264
南京,南京二区,LINUX,大数据型D2,D2.19XLARGE320,76,320,45.18,28.21,22.79,13010.4,13010.4,129583.58,234187.2,390312
南京,南京一区,LINUX,标准型BMS4,BMS4.20XLARGE384,80,384,13.7,13.7,13.7,14096,9867.2,118406.4,253728,422880
南京,南京一区,LINUX,大数据型BMD2,BMD2.20XLARGE384,80,384,-,-,-,16376,11463.2,137558.4,294768,491280
南京,南京三区,LINUX,大数据型BMD3s,BMD3s.24XLARGE192,96,192,-,-,-,18500,18500,184260,333000,555000
南京,南京一区,LINUX,高IO型BMI5,BMI5.24XLARGE384,96,384,12.53,12.53,12.53,12884,9018.8,108225.6,231912,386520
南京,南京一区,LINUX,GPU型BMG5t,BMG5t.24XLARGE384,96,384,35.07,35.07,35.07,25248,25248,251470.08,454464,757440
北京,北京七区,LINUX,标准型S6,S6.MEDIUM2,2,2,0.27,0.27,0.27,151.8,151.8,1511.93,2732.4,4554
北京,北京七区,LINUX,标准型S6,S6.MEDIUM4,2,4,0.37,0.37,0.37,202.4,202.4,2015.9,3643.2,6072
北京,北京七区,LINUX,标准型S6,S6.MEDIUM8,2,8,0.55,0.55,0.55,303.6,303.6,3023.86,5464.8,9108
北京,北京七区,LINUX,标准型S6,S6.LARGE8,4,8,0.73,0.73,0.73,404.8,404.8,4031.81,7286.4,12144
北京,北京七区,LINUX,标准型S6,S6.LARGE16,4,16,1.1,1.1,1.1,607.2,607.2,6047.71,10929.6,18216
北京,北京六区,LINUX,标准型S6,S6.2XLARGE16,8,16,1.26,1.26,1.26,696,696,6932.16,12528,20880
北京,北京六区,LINUX,标准型S6,S6.2XLARGE32,8,32,1.89,1.89,1.89,1044,1044,10398.24,18792,31320
北京,北京六区,LINUX,标准型S6,S6.4XLARGE32,16,32,2.51,2.51,2.51,1392,1392,13864.32,25056,41760
北京,北京六区,LINUX,标准型S6,S6.4XLARGE64,16,64,3.77,3.77,3.77,2088,2088,20796.48,37584,62640
北京,北京七区,LINUX,标准型S6,S6.8XLARGE64,32,64,5.85,5.85,5.85,3238.4,3238.4,32254.46,58291.2,97152
北京,北京七区,LINUX,标准型S6,S6.8XLARGE128,32,128,8.77,8.77,8.77,4857.6,4857.6,48381.7,87436.8,145728
北京,北京六区,LINUX,标准型S6,S6.12XLARGE96,48,96,7.54,7.54,7.54,4176,4176,41592.96,75168,125280
北京,北京六区,LINUX,标准型S6,S6.12XLARGE192,48,192,11.31,11.31,11.31,6264,6264,62389.44,112752,187920
北京,北京六区,LINUX,标准型S6,S6.16XLARGE256,64,256,15.08,15.08,15.08,8352,8352,83185.92,150336,250560
北京,北京六区,LINUX,标准型S6,S6.19XLARGE256,76,256,16.02,16.02,16.02,8874,8874,88385.04,159732,266220
北京,北京七区,LINUX,标准型S6,S6.31XLARGE432,124,432,31.07,31.07,31.07,17204,17204,171351.84,309672,516120
北京,北京六区,LINUX,标准型S6,S6.38XLARGE512,152,512,32.05,32.05,32.05,17748,17748,176770.08,319464,532440
北京,北京五区,LINUX,标准型SA2,SA2.SMALL1,1,1,0.06,0.06,0.06,29,29,288.84,522,870
北京,北京五区,LINUX,标准型SA2,SA2.SMALL2,1,2,0.06,0.06,0.06,32,32,318.72,576,960
北京,北京五区,LINUX,标准型SA2,SA2.SMALL4,1,4,0.19,0.19,0.19,96,96,956.16,1728,2880
北京,北京三区,LINUX,标准型SA2,SA2.MEDIUM2,2,2,0.06,0.06,0.06,32,32,318.72,576,960
北京,北京五区,LINUX,标准型SA2,SA2.MEDIUM4,2,4,0.26,0.26,0.26,136,136,1354.56,2448,4080
北京,北京五区,LINUX,标准型SA2,SA2.MEDIUM8,2,8,0.37,0.37,0.37,192,192,1912.32,3456,5760
北京,北京三区,LINUX,标准型SA2,SA2.LARGE4,4,4,0.37,0.37,0.37,192,192,1912.32,3456,5760
北京,北京五区,LINUX,标准型SA2,SA2.LARGE8,4,8,0.5,0.5,0.5,256,256,2549.76,4608,7680
北京,北京五区,LINUX,标准型SA2,SA2.LARGE16,4,16,0.75,0.75,0.75,384,384,3824.64,6912,11520
北京,北京五区,LINUX,标准型SA2,SA2.2XLARGE16,8,16,1,1,1,512,512,5099.52,9216,15360
北京,北京五区,LINUX,标准型SA2,SA2.2XLARGE32,8,32,1.49,1.49,1.49,768,768,7649.28,13824,23040
北京,北京五区,LINUX,标准型SA2,SA2.4XLARGE32,16,32,1.99,1.99,1.99,1024,1024,10199.04,18432,30720
北京,北京七区,LINUX,标准型SA2,SA2.4XLARGE64,16,64,2.99,2.99,2.99,1536,1536,15298.56,27648,46080
北京,北京三区,LINUX,标准型SA2,SA2.8XLARGE64,32,64,3.98,3.98,3.98,2048,2048,20398.08,36864,61440
北京,北京七区,LINUX,标准型SA2,SA2.8XLARGE128,32,128,5.97,5.97,5.97,3072,3072,30597.12,55296,92160
北京,北京三区,LINUX,标准型SA2,SA2.12XLARGE96,48,96,5.97,5.97,5.97,3072,3072,30597.12,55296,92160
北京,北京三区,LINUX,标准型SA2,SA2.12XLARGE128,48,128,6.97,6.97,6.97,3584,3584,35696.64,64512,107520
北京,北京三区,LINUX,标准型SA2,SA2.12XLARGE192,48,192,8.96,8.96,8.96,4608,4608,45895.68,82944,138240
北京,北京三区,LINUX,标准型SA2,SA2.16XLARGE128,64,128,7.96,7.96,7.96,4096,4096,40796.16,73728,122880
北京,北京三区,LINUX,标准型SA2,SA2.16XLARGE256,64,256,11.94,11.94,11.94,6144,6144,61194.24,110592,184320
北京,北京三区,LINUX,标准型SA2,SA2.20XLARGE160,80,160,9.95,9.95,9.95,5120,5120,50995.2,92160,153600
北京,北京三区,LINUX,标准型SA2,SA2.22XLARGE224,90,224,12.57,12.57,12.57,6464,6464,64381.44,116352,193920
北京,北京三区,LINUX,标准型SA2,SA2.22XLARGE480,90,480,20.53,20.53,20.53,10560,10560,105177.6,190080,316800
北京,北京三区,LINUX,标准型SA2,SA2.24XLARGE192,96,192,11.94,11.94,11.94,6144,6144,61194.24,110592,184320
北京,北京三区,LINUX,标准型SA2,SA2.32XLARGE256,128,256,15.93,15.93,15.93,8192,8192,81592.32,147456,245760
北京,北京三区,LINUX,标准型SA2,SA2.40XLARGE320,160,320,19.91,19.91,19.91,10240,10240,101990.4,184320,307200
北京,北京五区,LINUX,标准型SA2,SA2.45XLARGE464,180,464,25.63,25.63,25.63,13184,13184,131312.64,237312,395520
北京,北京三区,LINUX,标准型SA2,SA2.45XLARGE960,180,960,41.06,41.06,41.06,21120,21120,210355.2,380160,633600
北京,北京三区,LINUX,标准型S5,S5.SMALL1,1,1,0.08,0.08,0.08,42,36.54,347.76,619.92,680.4
北京,北京五区,LINUX,标准型S5,S5.SMALL2,1,2,0.08,0.08,0.08,45,39.15,372.6,664.2,729
北京,北京五区,LINUX,标准型S5,S5.SMALL4,1,4,0.25,0.25,0.25,138,120.06,1142.64,2036.88,2235.6
北京,北京三区,LINUX,标准型S5,S5.MEDIUM2,2,2,0.08,0.08,0.08,45,39.15,372.6,664.2,729
北京,北京五区,LINUX,标准型S5,S5.MEDIUM4,2,4,0.31,0.31,0.31,170,147.9,1407.6,2509.2,2754
北京,北京五区,LINUX,标准型S5,S5.MEDIUM8,2,8,0.5,0.5,0.5,276,240.12,2285.28,4073.76,4471.2
北京,北京三区,LINUX,标准型S5,S5.LARGE4,4,4,0.5,0.5,0.5,276,240.12,2285.28,4073.76,4471.2
