地域,可用区,系统,机型,规格,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),标准月价(元),包月(元),包年(元),3年(元),5年(元)
广州,广州三区,LINUX,标准型S5,S5.2XLARGE16,8,16,1.33,1.33,1.33,736,640.32,6094.08,10863.36,11923.2
广州,广州三区,LINUX,标准型S5,S5.2XLARGE32,8,32,1.99,1.99,1.99,1104,960.48,9141.12,16295.04,17884.8
广州,广州六区,LINUX,标准型S5,S5.3XLARGE24,12,24,1.79,1.79,1.79,993.6,864.43,8227.01,14665.54,16096.32
广州,广州四区,LINUX,标准型S5,S5.4XLARGE32,16,32,2.66,2.66,2.66,1472,1280.64,12188.16,21726.72,23846.4
广州,广州四区,LINUX,标准型S5,S5.4XLARGE64,16,64,3.99,3.99,3.99,2208,1920.96,18282.24,32590.08,35769.6
广州,广州四区,LINUX,标准型S5,S5.6XLARGE48,24,48,3.99,3.99,3.99,2208,1920.96,18282.24,32590.08,35769.6
广州,广州四区,LINUX,标准型S5,S5.6XLARGE96,24,96,5.98,5.98,5.98,3312,2881.44,27423.36,48885.12,53654.4
广州,广州四区,LINUX,标准型S5,S5.8XLARGE64,32,64,5.32,5.32,5.32,2944,2561.28,24376.32,43453.44,47692.8
广州,广州三区,LINUX,标准型S5,S5.8XLARGE128,32,128,7.98,7.98,7.98,4416,3841.92,36564.48,65180.16,71539.2
广州,广州三区,LINUX,标准型S5,S5.12XLARGE96,48,96,7.97,7.97,7.97,4416,3841.92,36564.48,65180.16,71539.2
广州,广州三区,LINUX,标准型S5,S5.12XLARGE192,48,192,11.96,11.96,11.96,6624,5762.88,54846.72,97770.24,107308.8
广州,广州三区,LINUX,标准型S5,S5.16XLARGE256,64,256,15.95,15.95,15.95,8832,7683.84,73128.96,130360.32,143078.4
广州,广州三区,LINUX,标准型S5,S5.19XLARGE304,76,304,18.94,18.94,18.94,10488,9124.56,86840.64,154802.88,169905.6
广州,广州三区,LINUX,标准存储增强型S5se,S5se.LARGE16,4,16,1.18,1.18,1.18,607.2,607.2,6047.71,10929.6,18216
广州,广州三区,LINUX,标准存储增强型S5se,S5se.2XLARGE16,8,16,1.57,1.57,1.57,809.6,809.6,8063.62,14572.8,24288
广州,广州三区,LINUX,标准存储增强型S5se,S5se.2XLARGE32,8,32,2.36,2.36,2.36,1214.4,1214.4,12095.42,21859.2,36432
广州,广州三区,LINUX,标准存储增强型S5se,S5se.4XLARGE32,16,32,3.15,3.15,3.15,1619.2,1619.2,16127.23,29145.6,48576
广州,广州三区,LINUX,标准存储增强型S5se,S5se.4XLARGE64,16,64,4.72,4.72,4.72,2428.8,2428.8,24190.85,43718.4,72864
广州,广州三区,LINUX,标准存储增强型S5se,S5se.8XLARGE64,32,64,6.3,6.3,6.3,3238.4,3238.4,32254.46,58291.2,97152
广州,广州三区,LINUX,标准存储增强型S5se,S5se.8XLARGE128,32,128,9.45,9.45,9.45,4857.6,4857.6,48381.7,87436.8,145728
广州,广州三区,LINUX,标准存储增强型S5se,S5se.17XLARGE316,68,316,22.24,22.24,22.24,11435.6,11435.6,113898.58,205840.8,343068
广州,广州六区,LINUX,标准型SA3,SA3.MEDIUM2,2,2,0.18,0.18,0.18,90.6,90.6,902.38,1630.8,2718
广州,广州六区,LINUX,标准型SA3,SA3.MEDIUM4,2,4,0.23,0.23,0.23,120.8,120.8,1203.17,2174.4,3624
广州,广州六区,LINUX,标准型SA3,SA3.MEDIUM8,2,8,0.35,0.35,0.35,181.2,181.2,1804.75,3261.6,5436
广州,广州六区,LINUX,标准型SA3,SA3.LARGE8,4,8,0.47,0.47,0.47,241.6,241.6,2406.34,4348.8,7248
广州,广州六区,LINUX,标准型SA3,SA3.LARGE16,4,16,0.7,0.7,0.7,362.4,362.4,3609.5,6523.2,10872
广州,广州六区,LINUX,标准型SA3,SA3.2XLARGE16,8,16,0.94,0.94,0.94,483.2,483.2,4812.67,8697.6,14496
广州,广州六区,LINUX,标准型SA3,SA3.2XLARGE32,8,32,1.41,1.41,1.41,724.8,724.8,7219.01,13046.4,21744
广州,广州六区,LINUX,标准型SA3,SA3.4XLARGE32,16,32,1.88,1.88,1.88,966.4,966.4,9625.34,17395.2,28992
广州,广州六区,LINUX,标准型SA3,SA3.4XLARGE64,16,64,2.82,2.82,2.82,1449.6,1449.6,14438.02,26092.8,43488
广州,广州六区,LINUX,标准型SA3,SA3.8XLARGE64,32,64,3.76,3.76,3.76,1932.8,1932.8,19250.69,34790.4,57984
广州,广州六区,LINUX,标准型SA3,SA3.8XLARGE128,32,128,5.64,5.64,5.64,2899.2,2899.2,28876.03,52185.6,86976
广州,广州六区,LINUX,标准型SA3,SA3.12XLARGE96,48,96,5.64,5.64,5.64,2899.2,2899.2,28876.03,52185.6,86976
广州,广州六区,LINUX,标准型SA3,SA3.12XLARGE192,48,192,8.46,8.46,8.46,4348.8,4348.8,43314.05,78278.4,130464
广州,广州六区,LINUX,标准型SA3,SA3.16XLARGE128,64,128,7.52,7.52,7.52,3865.6,3865.6,38501.38,69580.8,115968
广州,广州六区,LINUX,标准型SA3,SA3.16XLARGE256,64,256,11.28,11.28,11.28,5798.4,5798.4,57752.06,104371.2,173952
广州,广州六区,LINUX,标准型SA3,SA3.20XLARGE160,80,160,9.4,9.4,9.4,4832,4832,48126.72,86976,144960
广州,广州六区,LINUX,标准型SA3,SA3.20XLARGE320,80,320,14.1,14.1,14.1,7248,7248,72190.08,130464,217440
广州,广州六区,LINUX,标准型SA3,SA3.24XLARGE192,96,192,11.28,11.28,11.28,5798.4,5798.4,57752.06,104371.2,173952
广州,广州六区,LINUX,标准型SA3,SA3.24XLARGE384,96,384,16.92,16.92,16.92,8697.6,8697.6,86628.1,156556.8,260928
广州,广州七区,LINUX,标准型SA3,SA3.29XLARGE216,116,216,13.16,13.16,13.16,6764.8,6764.8,67377.41,121766.4,202944
广州,广州六区,LINUX,标准型SA3,SA3.29XLARGE470,116,470,20.62,20.62,20.62,10600.2,10600.2,105577.99,190803.6,318006
广州,广州六区,LINUX,标准型SA3,SA3.40XLARGE320,160,320,18.79,18.79,18.79,9664,9664,96253.44,173952,289920
广州,广州六区,LINUX,标准型SA3,SA3.40XLARGE640,160,640,28.2,28.2,28.2,14496,14496,144380.16,260928,434880
广州,广州七区,LINUX,标准型SA3,SA3.58XLARGE432,232,432,26.31,26.31,26.31,13529.6,13529.6,134754.82,243532.8,405888
广州,广州六区,LINUX,标准型SA3,SA3.58XLARGE940,232,940,41.24,41.24,41.24,21200.4,21200.4,211155.98,381607.2,636012
广州,广州六区,LINUX,标准型SR1,SR1.SMALL1,1,1,0.05,0.05,0.05,32.4,32.4,322.7,583.2,972
广州,广州六区,LINUX,标准型SR1,SR1.SMALL2,1,2,0.05,0.05,0.05,34.2,34.2,340.63,615.6,1026
广州,广州六区,LINUX,标准型SR1,SR1.MEDIUM2,2,2,0.05,0.05,0.05,34.2,34.2,340.63,615.6,1026
广州,广州六区,LINUX,标准型SR1,SR1.MEDIUM4,2,4,0.17,0.17,0.17,126,126,1254.96,2268,3780
广州,广州六区,LINUX,标准型SR1,SR1.MEDIUM8,2,8,0.36,0.36,0.36,183.96,183.96,1832.24,3311.28,5518.8
广州,广州六区,LINUX,标准型SR1,SR1.LARGE8,4,8,0.51,0.51,0.51,262.8,262.8,2617.49,4730.4,7884
广州,广州六区,LINUX,标准型SR1,SR1.LARGE16,4,16,0.72,0.72,0.72,367.92,367.92,3664.48,6622.56,11037.6
广州,广州六区,LINUX,标准型SR1,SR1.2XLARGE16,8,16,1.02,1.02,1.02,525.6,525.6,5234.98,9460.8,15768
广州,广州六区,LINUX,标准型SR1,SR1.2XLARGE32,8,32,1.43,1.43,1.43,735.84,735.84,7328.97,13245.12,22075.2
广州,广州六区,LINUX,标准型SR1,SR1.4XLARGE32,16,32,2.04,2.04,2.04,1051.2,1051.2,10469.95,18921.6,31536
广州,广州六区,LINUX,标准型SR1,SR1.8XLARGE64,32,64,4.09,4.09,4.09,2102.4,2102.4,20939.9,37843.2,63072
广州,广州六区,LINUX,标准型SR1,SR1.16XLARGE128,64,128,8.18,8.18,8.18,4204.8,4204.8,41879.81,75686.4,126144
广州,广州四区,LINUX,标准型S4,S4.SMALL1,1,1,0.21,0.1,0.07,60,60,597.6,1080,1800
广州,广州四区,LINUX,标准型S4,S4.SMALL2,1,2,0.31,0.15,0.1,88,88,876.48,1584,2640
广州,广州四区,LINUX,标准型S4,S4.SMALL4,1,4,0.48,0.24,0.16,138,138,1374.48,2484,4140
广州,广州四区,LINUX,标准型S4,S4.MEDIUM2,2,2,0.31,0.15,0.1,88,88,876.48,1584,2640
广州,广州四区,LINUX,标准型S4,S4.MEDIUM4,2,4,0.64,0.32,0.22,184,184,1832.64,3312,5520
广州,广州四区,LINUX,标准型S4,S4.MEDIUM8,2,8,0.96,0.48,0.33,276,276,2748.96,4968,8280
广州,广州四区,LINUX,标准型S4,S4.LARGE8,4,8,1.28,0.64,0.44,368,368,3665.28,6624,11040
广州,广州四区,LINUX,标准型S4,S4.LARGE16,4,16,1.92,0.96,0.65,552,552,5497.92,9936,16560
广州,广州四区,LINUX,标准型S4,S4.2XLARGE16,8,16,2.56,1.28,0.87,736,736,7330.56,13248,22080
广州,广州四区,LINUX,标准型S4,S4.2XLARGE32,8,32,3.84,1.92,1.31,1104,1104,10995.84,19872,33120
广州,广州四区,LINUX,标准型S4,S4.4XLARGE32,16,32,5.12,2.56,1.74,1472,1472,14661.12,26496,44160
广州,广州四区,LINUX,标准型S4,S4.4XLARGE64,16,64,7.68,3.84,2.61,2208,2208,21991.68,39744,66240
广州,广州四区,LINUX,标准型S4,S4.6XLARGE48,24,48,7.68,3.84,2.61,2208,2208,21991.68,39744,66240
广州,广州四区,LINUX,标准型S4,S4.6XLARGE96,24,96,11.52,5.76,3.92,3312,3312,32987.52,59616,99360
广州,广州四区,LINUX,标准型S4,S4.8XLARGE64,32,64,10.24,5.12,3.48,2944,2944,29322.24,52992,88320
广州,广州四区,LINUX,标准型S4,S4.8XLARGE128,32,128,15.36,7.68,5.22,4416,4416,43983.36,79488,132480
广州,广州四区,LINUX,标准型S4,S4.12XLARGE96,48,96,15.36,7.68,5.22,4416,4416,43983.36,79488,132480
广州,广州四区,LINUX,标准型S4,S4.12XLARGE192,48,192,23.04,11.52,7.84,6624,6624,65975.04,119232,198720
广州,广州四区,LINUX,标准型S4,S4.16XLARGE192,64,192,25.6,12.8,8.71,7360,7360,73305.6,132480,220800
广州,广州四区,LINUX,标准型S4,S4.16XLARGE256,64,256,30.72,15.36,10.45,8832,8832,87966.72,158976,264960
广州,广州四区,LINUX,标准型S4,S4.18XLARGE288,72,288,34.56,17.28,11.75,9936,9936,98962.56,178848,298080
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.SMALL2,1,2,0.32,0.16,0.11,88,88,876.48,1584,2640
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.MEDIUM2,2,2,0.48,0.24,0.16,88,88,876.48,1584,2640
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.MEDIUM4,2,4,0.64,0.32,0.22,184,184,1832.64,3312,5520
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.LARGE8,4,8,1.28,0.64,0.44,368,368,3665.28,6624,11040
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.LARGE16,4,16,1.92,0.96,0.65,552,552,5497.92,9936,16560
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.2XLARGE16,8,16,2.56,1.28,0.87,736,736,7330.56,13248,22080
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.2XLARGE32,8,32,3.84,1.92,1.31,1104,1104,10995.84,19872,33120
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.3XLARGE24,12,24,3.84,1.92,1.31,1104,1104,10995.84,19872,33120
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.4XLARGE32,16,32,5.12,2.56,1.74,1472,1472,14661.12,26496,44160
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.4XLARGE64,16,64,7.68,3.84,2.61,2208,2208,21991.68,39744,66240
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.6XLARGE48,24,48,7.68,3.84,2.61,2208,2208,21991.68,39744,66240
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.6XLARGE96,24,96,11.52,5.76,3.92,3312,3312,32987.52,59616,99360
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.8XLARGE64,32,64,10.24,5.12,3.48,2944,2944,29322.24,52992,88320
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.8XLARGE128,32,128,15.36,7.68,5.22,4416,4416,43983.36,79488,132480
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.12XLARGE96,48,96,15.36,7.68,5.22,4416,4416,43983.36,79488,132480
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.12XLARGE192,48,192,23.04,11.52,7.84,6624,6624,65975.04,119232,198720
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.16XLARGE128,64,128,20.48,10.24,6.96,5888,5888,58644.48,105984,176640
广州,广州四区,LINUX,标准网络优化型SN3ne,SN3ne.16XLARGE256,64,256,30.72,15.36,10.45,8832,8832,87966.72,158976,264960
广州,广州三区,LINUX,标准网络优化型SN3ne,SN3ne.18XLARGE288,72,288,34.56,17.28,11.75,9936,9936,98962.56,178848,298080
广州,广州三区,LINUX,标准型S3,S3.SMALL1,1,1,0.2,0.1,0.07,57,57,567.72,1026,1710
广州,广州三区,LINUX,标准型S3,S3.SMALL2,1,2,-,-,-,83.6,83.6,832.66,1504.8,2508
广州,广州三区,LINUX,标准型S3,S3.SMALL4,1,4,0.47,0.24,0.16,136.5,136.5,1359.54,2457,4095
广州,广州三区,LINUX,标准型S3,S3.MEDIUM2,2,2,0.29,0.15,0.07,83.6,83.6,832.66,1504.8,2508
广州,广州三区,LINUX,标准型S3,S3.MEDIUM4,2,4,-,-,-,180,180,1792.8,3240,5400
广州,广州三区,LINUX,标准型S3,S3.MEDIUM8,2,8,0.95,0.47,0.32,273,273,2719.08,4914,8190
广州,广州三区,LINUX,标准型S3,S3.LARGE8,4,8,1.26,0.63,0.43,364,364,3625.44,6552,10920
广州,广州三区,LINUX,标准型S3,S3.LARGE16,4,16,1.9,0.95,0.64,546,546,5438.16,9828,16380
广州,广州三区,LINUX,标准型S3,S3.2XLARGE16,8,16,2.53,1.26,0.86,728,728,7250.88,13104,21840
广州,广州三区,LINUX,标准型S3,S3.2XLARGE32,8,32,3.79,1.9,1.29,1092,1092,10876.32,19656,32760
广州,广州三区,LINUX,标准型S3,S3.3XLARGE24,12,24,3.79,1.9,1.29,1092,1092,10876.32,19656,32760
广州,广州三区,LINUX,标准型S3,S3.3XLARGE48,12,48,5.69,2.84,1.93,1638,1638,16314.48,29484,49140
广州,广州三区,LINUX,标准型S3,S3.4XLARGE32,16,32,5.06,2.53,1.72,1456,1456,14501.76,26208,43680
广州,广州三区,LINUX,标准型S3,S3.4XLARGE64,16,64,7.58,3.79,2.58,2184,2184,21752.64,39312,65520
广州,广州三区,LINUX,标准型S3,S3.6XLARGE48,24,48,7.58,3.79,2.58,2184,2184,21752.64,39312,65520
广州,广州三区,LINUX,标准型S3,S3.6XLARGE96,24,96,11.37,5.69,3.87,3276,3276,32628.96,58968,98280
广州,广州三区,LINUX,标准型S3,S3.8XLARGE64,32,64,10.11,5.05,3.44,2912,2912,29003.52,52416,87360
广州,广州三区,LINUX,标准型S3,S3.8XLARGE128,32,128,15.17,7.58,5.16,4368,4368,43505.28,78624,131040
广州,广州三区,LINUX,标准型S3,S3.12XLARGE96,48,96,15.17,7.58,5.16,4368,4368,43505.28,78624,131040
广州,广州三区,LINUX,标准型S3,S3.12XLARGE192,48,192,22.75,11.37,7.73,6552,6552,65257.92,117936,196560
广州,广州三区,LINUX,标准型S3,S3.16XLARGE256,64,256,30.33,15.16,10.31,8736,8736,87010.56,157248,262080
广州,广州三区,LINUX,标准型S3,S3.20XLARGE320,80,320,37.92,18.96,12.89,10920,10920,108763.2,196560,327600
广州,广州三区,LINUX,标准型SA1,SA1.SMALL1,1,1,0.09,0.05,0.03,32,32,318.72,576,960
广州,广州四区,LINUX,标准型SA1,SA1.SMALL2,1,2,0.12,0.06,0.04,64,64,637.44,1152,1920
广州,广州三区,LINUX,标准型SA1,SA1.SMALL4,1,4,0.19,0.09,0.06,96,96,956.16,1728,2880
广州,广州三区,LINUX,标准型SA1,SA1.MEDIUM2,2,2,0.19,0.09,0.06,64,64,637.44,1152,1920
广州,广州三区,LINUX,标准型SA1,SA1.MEDIUM4,2,4,0.25,0.12,0.08,128,128,1274.88,2304,3840
广州,广州三区,LINUX,标准型SA1,SA1.MEDIUM8,2,8,0.37,0.19,0.13,192,192,1912.32,3456,5760
广州,广州三区,LINUX,标准型SA1,SA1.LARGE8,4,8,0.5,0.25,0.17,256,256,2549.76,4608,7680
广州,广州三区,LINUX,标准型SA1,SA1.LARGE16,4,16,0.74,0.37,0.25,384,384,3824.64,6912,11520
广州,广州三区,LINUX,标准型SA1,SA1.2XLARGE16,8,16,0.99,0.5,0.34,512,512,5099.52,9216,15360
广州,广州三区,LINUX,标准型SA1,SA1.2XLARGE32,8,32,1.49,0.75,0.51,768,768,7649.28,13824,23040
广州,广州四区,LINUX,标准型SA1,SA1.4XLARGE32,16,32,1.98,1,0.68,1024,1024,10199.04,18432,30720
广州,广州四区,LINUX,标准型SA1,SA1.4XLARGE64,16,64,2.98,1.49,1.02,1536,1536,15298.56,27648,46080
广州,广州四区,LINUX,标准型SA1,SA1.8XLARGE64,32,64,3.97,1.99,1.35,2048,2048,20398.08,36864,61440
广州,广州四区,LINUX,标准型SA1,SA1.8XLARGE128,32,128,5.95,2.99,2.03,3072,3072,30597.12,55296,92160
广州,广州三区,LINUX,标准型SA1,SA1.16XLARGE128,64,128,7.93,3.98,2.71,4096,4096,40796.16,73728,122880
广州,广州三区,LINUX,标准型SA1,SA1.16XLARGE256,64,256,11.9,5.97,4.06,6144,6144,61194.24,110592,184320
广州,广州三区,LINUX,标准型SA1,SA1.32XLARGE448,128,448,21.82,10.95,7.45,11264,11264,112189.44,202752,337920
广州,广州四区,LINUX,标准型S2,S2.SMALL1,1,1,0.15,0.07,0.05,42,42,418.32,756,1260
广州,广州四区,LINUX,标准型S2,S2.SMALL2,1,2,0.27,0.14,0.09,79,79,786.84,1422,2370
广州,广州四区,LINUX,标准型S2,S2.SMALL4,1,4,0.47,0.23,0.16,135,135,1344.6,2430,4050
广州,广州三区,LINUX,标准型S2,S2.MEDIUM2,2,2,0.27,0.14,0.09,79,79,786.84,1422,2370
广州,广州三区,LINUX,标准型S2,S2.MEDIUM4,2,4,0.62,0.31,0.21,179,179,1782.84,3222,5370
广州,广州三区,LINUX,标准型S2,S2.MEDIUM8,2,8,0.94,0.47,0.32,270,270,2689.2,4860,8100
广州,广州三区,LINUX,标准型S2,S2.LARGE8,4,8,1.25,0.62,0.42,360,360,3585.6,6480,10800
广州,广州三区,LINUX,标准型S2,S2.LARGE16,4,16,1.87,0.94,0.64,540,540,5378.4,9720,16200
广州,广州四区,LINUX,标准型S2,S2.2XLARGE16,8,16,2.5,1.25,0.85,720,720,7171.2,12960,21600
广州,广州四区,LINUX,标准型S2,S2.2XLARGE32,8,32,3.74,1.87,1.27,1080,1080,10756.8,19440,32400
广州,广州四区,LINUX,标准型S2,S2.3XLARGE24,12,24,3.74,1.87,1.27,1080,1080,10756.8,19440,32400
广州,广州四区,LINUX,标准型S2,S2.3XLARGE48,12,48,5.62,2.81,1.91,1620,1620,16135.2,29160,48600
广州,广州三区,LINUX,标准型S2,S2.4XLARGE32,16,32,4.99,2.5,1.7,1440,1440,14342.4,25920,43200
广州,广州三区,LINUX,标准型S2,S2.4XLARGE64,16,64,7.49,3.74,2.55,2160,2160,21513.6,38880,64800
广州,广州三区,LINUX,标准型S2,S2.6XLARGE48,24,48,7.49,3.74,2.55,2160,2160,21513.6,38880,64800
广州,广州三区,LINUX,标准型S2,S2.6XLARGE96,24,96,11.23,5.62,3.82,3240,3240,32270.4,58320,97200
广州,广州四区,LINUX,标准型S2,S2.8XLARGE64,32,64,9.98,4.99,3.39,2880,2880,28684.8,51840,86400
广州,广州四区,LINUX,标准型S2,S2.8XLARGE128,32,128,14.98,7.49,5.09,4320,4320,43027.2,77760,129600
广州,广州三区,LINUX,标准型S2,S2.14XLARGE224,56,224,26.21,13.1,8.91,7560,7560,75297.6,136080,226800
广州,广州三区,LINUX,标准型S1,S1.SMALL1,1,1,0.1,0.05,0.04,30,30,298.8,540,900
广州,广州三区,LINUX,标准型S1,S1.SMALL2,1,2,0.24,0.12,0.08,70,70,697.2,1260,2100
广州,广州三区,LINUX,标准型S1,S1.SMALL4,1,4,0.46,0.23,0.16,132,132,1314.72,2376,3960
广州,广州三区,LINUX,标准型S1,S1.MEDIUM2,2,2,0.24,0.12,0.08,70,70,697.2,1260,2100
广州,广州三区,LINUX,标准型S1,S1.MEDIUM4,2,4,0.59,0.29,0.2,170,170,1693.2,3060,5100
广州,广州三区,LINUX,标准型S1,S1.MEDIUM8,2,8,0.91,0.46,0.31,264,264,2629.44,4752,7920
广州,广州三区,LINUX,标准型S1,S1.LARGE4,4,4,0.92,0.46,0.31,264,264,2629.44,4752,7920
广州,广州三区,LINUX,标准型S1,S1.LARGE8,4,8,1.22,0.61,0.41,352,352,3505.92,6336,10560
